Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
Rank:661,Major:Health Services Administration,Bachelors,Degree Type:Bachelors,Early Career Pay:50100,MidCareer Pay:75900
Rank:663,Major:General Studies,Bachelors,Degree Type:Bachelors,Early Career Pay:51300,MidCareer Pay:75800
Rank:663,Major:Photography,Bachelors,Degree Type:Bachelors,Early Career Pay:51300,MidCareer Pay:75800
Rank:665,Major:Exercise & Sports Science,Bachelors,Degree Type:Bachelors,Early Career Pay:49500,MidCareer Pay:75700
Rank:665,Major:Forensic Science,Bachelors,Degree Type:Bachelors,Early Career Pay:53600,MidCareer Pay:75700
Rank:665,Major:History Teacher Education,Bachelors,Degree Type:Bachelors,Early Career Pay:53000,MidCareer Pay:75700
Rank:668,Major:International Trade,Bachelors,Degree Type:Bachelors,Early Career Pay:55700,MidCareer Pay:75600
Rank:669,Major:Restaurant & Food Service Management,Bachelors,Degree Type:Bachelors,Early Career Pay:50600,MidCareer Pay:75500
Rank:670,Major:Health & Physical Education Teaching,Bachelors,Degree Type:Bachelors,Early Career Pay:46600,MidCareer Pay:75300
Rank:671,Major:Justice Studies,Bachelors,Degree Type:Bachelors,Early Career Pay:53800,MidCareer Pay:75200
Rank:672,Major:Tourism & Travel,Bachelors,Degree Type:Bachelors,Early Career Pay:46700,MidCareer Pay:75100
Rank:673,Major:Culinary Arts,Bachelors,Degree Type:Bachelors,Early Career Pay:47800,MidCareer Pay:74900
Rank:673,Major:Physical Education Teaching,Bachelors,Degree Type:Bachelors,Early Career Pay:49700,MidCareer Pay:74900
Rank:675,Major:Physical Therapist Assistant Studies,Bachelors,Degree Type:Bachelors,Early Career Pay:56800,MidCareer Pay:74800
Rank:676,Major:Graphic Arts,Bachelors,Degree Type:Bachelors,Early Career Pay:49800,MidCareer Pay:74600
Rank:677,Major:Interior Design & Merchandising,Bachelors,Degree Type:Bachelors,Early Career Pay:51700,MidCareer Pay:74300
Rank:677,Major:Supervision & Management,Bachelors,Degree Type:Bachelors,Early Career Pay:49500,MidCareer Pay:74300
Rank:679,Major:Event Management,Bachelors,Degree Type:Bachelors,Early Career Pay:49800,MidCareer Pay:74100
Rank:679,Major:Health & Wellness,Bachelors,Degree Type:Bachelors,Early Career Pay:46800,MidCareer Pay:74100
Rank:679,Major:Music Industry,Bachelors,Degree Type:Bachelors,Early Career Pay:54500,MidCareer Pay:74100
Rank:682,Major:Clinical Psychology,Bachelors,Degree Type:Bachelors,Early Career Pay:49300,MidCareer Pay:74000
Rank:682,Major:Recreation Administration,Bachelors,Degree Type:Bachelors,Early Career Pay:55500,MidCareer Pay:74000
Rank:684,Major:Health & Exercise Science,Bachelors,Degree Type:Bachelors,Early Career Pay:48300,MidCareer Pay:73900
Rank:684,Major:Physical Education & Exercise Science,Bachelors,Degree Type:Bachelors,Early Career Pay:52600,MidCareer Pay:73900
Rank:686,Major:Recreation & Leisure Studies,Bachelors,Degree Type:Bachelors,Early Career Pay:48400,MidCareer Pay:73800
Rank:687,Major:Ceramics,Bachelors,Degree Type:Bachelors,Early Career Pay:51100,MidCareer Pay:73700
Rank:687,Major:Culinary Arts & Food Service Management,Bachelors,Degree Type:Bachelors,Early Career Pay:49800,MidCareer Pay:73700
Rank:689,Major:Secondary English Teacher Education,Bachelors,Degree Type:Bachelors,Early Career Pay:51700,MidCareer Pay:73600
Rank:690,Major:Family & Community Services,Bachelors,Degree Type:Bachelors,Early Career Pay:49700,MidCareer Pay:73500
Rank:691,Major:Instrumental Music Teacher Education,Bachelors,Degree Type:Bachelors,Early Career Pay:51100,MidCareer Pay:73200
Rank:692,Major:Health Services Management,Bachelors,Degree Type:Bachelors,Early Career Pay:48900,MidCareer Pay:73100
Rank:693,Major:Exercise Science,Bachelors,Degree Type:Bachelors,Early Career Pay:48900,MidCareer Pay:72900
Rank:693,Major:English Teacher Education,Bachelors,Degree Type:Bachelors,Early Career Pay:50300,MidCareer Pay:72900
Rank:693,Major:Paralegal Studies,Bachelors,Degree Type:Bachelors,Early Career Pay:47300,MidCareer Pay:72900
Rank:696,Major:Audio Production,Bachelors,Degree Type:Bachelors,Early Career Pay:51300,MidCareer Pay:72600
Rank:697,Major:Community Health,Bachelors,Degree Type:Bachelors,Early Career Pay:54300,MidCareer Pay:72400
Rank:697,Major:Photojournalism,Bachelors,Degree Type:Bachelors,Early Career Pay:48200,MidCareer Pay:72400
Rank:699,Major:Fashion & Retail Management,Bachelors,Degree Type:Bachelors,Early Career Pay:57300,MidCareer Pay:72300
Rank:700,Major:Dance,Bachelors,Degree Type:Bachelors,Early Career Pay:51800,MidCareer Pay:72000
Rank:701,Major:Conservation Biology,Bachelors,Degree Type:Bachelors,Early Career Pay:49400,MidCareer Pay:71600
